"filename", "language", "JSON with Comments", "Rust", "JSON", "comment", "blank", "total"
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\rand_chacha-8b168c42868d0925\lib-rand_chacha.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\rand_chacha-ad85786b6f7ffd49\lib-rand_chacha.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\rand_chacha-b03c8d46fe245079\lib-rand_chacha.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\rand_core-25cf07a154d74aa5\lib-rand_core.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\rand_core-2b4019b5b93957c9\lib-rand_core.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\rand_core-65ec677ad4b4c489\lib-rand_core.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\rand_core-d7e8f2d9a28aa458\lib-rand_core.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\syn-3d75e5a36521ba4e\run-build-script-build-script-build.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\syn-557380ed06c4678f\run-build-script-build-script-build.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\syn-94e4e136b7597694\lib-syn.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\syn-b678dd28ff9522e5\build-script-build-script-build.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\syn-e9218ede8644b035\lib-syn.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\syn-ed19948ec8d1ac59\build-script-build-script-build.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\unicode-ident-0b1ba40d209b295b\lib-unicode-ident.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\unicode-ident-299dbb72ba97d2ab\lib-unicode-ident.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\uuid-30c17d8eab3b681b\lib-uuid.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\uuid-4088405bd90d84b1\lib-uuid.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\uuid-9d9b71dcda18ffc4\lib-uuid.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\uuid-a0ce9330078d818e\lib-uuid.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\uuid-ac34aa5c5dd49f60\lib-uuid.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\uuid-b0960f170c10a2dd\lib-uuid.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\uuid-macro-internal-1c0b4beab59b5e25\lib-uuid-macro-internal.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\uuid-macro-internal-5c628c26ba80cba2\lib-uuid-macro-internal.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\viaulence-07dbc36edad8c039\test-bin-viaulence.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\viaulence-17e205c50f476328\bin-viaulence.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\viaulence-2d557bf703aec4bd\test-bin-viaulence.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\viaulence-42f5cf38944c32f2\test-bin-viaulence.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\viaulence-4c15daa97c12d54f\bin-viaulence.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\viaulence-5197bdaddbb963ca\test-bin-viaulence.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\viaulence-5ba9e813b2e286a0\bin-viaulence.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\viaulence-78169f20d9df8b89\bin-viaulence.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\viaulence-7ff7d8a33a311175\bin-viaulence.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\target\debug\.fingerprint\viaulence-d0f6ffacb22179f6\test-bin-viaulence.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\berys\rust\viaulence\viaulence.code-workspace", "JSON with Comments", 9, 0, 0, 0, 0, 9
"Total", "-", 9, 1558, 63, 142, 135, 1907
